origem,destino,tempo_min,passageiros
1,2,2.29,31
1,3,3.02,4
1,4,5.47,4
1,5,3.85,5
1,6,4.62,11
1,7,5.3,9
1,8,6.65,9
1,9,1.45,2
1,10,1.68,4
1,11,2.58,5
1,12,2.73,2
1,13,3.35,1
1,14,1.75,1
1,15,3.15,5
1,16,3.8,6
1,17,4.38,6
1,18,4.27,13
1,19,4.93,14
1,20,5.76,14
1,21,7.82,7
1,22,7.63,1
1,23,9.38,6
1,24,2.35,25
1,25,2.06,6
1,26,2.32,6
1,27,5.39,6
1,28,3.4,5
1,29,3.84,6
1,30,3.73,4
1,31,4.36,11
1,32,5.39,3
2,1,2.11,23
2,3,0.78,4
2,4,3.23,4
2,5,1.61,5
2,6,2.38,11
2,7,3.06,9
2,8,4.79,9
2,9,1.64,2
2,10,1.93,4
2,11,2.56,5
2,12,2.04,2
2,13,2.21,1
2,14,1.23,1
2,15,2.75,5
2,16,1.69,6
2,17,2.16,6
2,18,2.03,13
2,19,3.73,14
2,20,4.57,14
2,21,6.62,7
2,22,6.43,1
2,23,8.19,6
2,24,1.07,25
2,25,0.87,6
2,26,1.13,6
2,27,3.84,6
2,28,2.2,5
2,29,2.65,6
2,30,2.53,4
2,31,3.16,11
2,32,4.2,3
3,1,3.42,23
3,2,2.78,31
3,4,2.46,4
3,5,0.83,5
3,6,1.6,11
3,7,2.28,9
3,8,4.01,9
3,9,3.41,2
3,10,3.44,4
3,11,3.82,5
3,12,3.3,2
3,13,2.96,1
3,14,2.54,1
3,15,3.13,5
3,16,1.33,6
3,17,1.38,6
3,18,1.25,13
3,19,3.97,14
3,20,4.96,14
3,21,6.88,7
3,22,6.83,1
3,23,8.58,6
3,24,2.84,25
3,25,2.18,6
3,26,2.03,6
3,27,3.97,6
3,28,2.6,5
3,29,3.04,6
3,30,2.93,4
3,31,3.56,11
3,32,3.76,3
4,1,2.81,23
4,2,2.17,31
4,3,1.53,4
4,5,0.82,5
4,6,1.6,11
4,7,2.27,9
4,8,4.01,9
4,9,2.8,2
4,10,3.08,4
4,11,3.72,5
4,12,3.2,2
4,13,3.0,1
4,14,1.93,1
4,15,2.52,5
4,16,1.4,6
4,17,1.27,6
4,18,1.25,13
4,19,3.52,14
4,20,4.36,14
4,21,6.41,7
4,22,6.22,1
4,23,7.97,6
4,24,2.23,25
4,25,1.57,6
4,26,1.42,6
4,27,3.36,6
4,28,1.99,5
4,29,2.44,6
4,30,2.32,4
4,31,2.95,11
4,32,3.76,3
5,1,4.44,23
5,2,3.8,31
5,3,2.84,4
5,4,1.63,4
5,6,0.78,11
5,7,1.45,9
5,8,3.19,9
5,9,4.42,2
5,10,4.71,4
5,11,5.35,5
5,12,4.51,2
5,13,3.8,1
5,14,3.56,1
5,15,4.15,5
5,16,2.47,6
5,17,1.89,6
5,18,0.42,13
5,19,3.15,14
5,20,4.85,14
5,21,6.05,7
5,22,6.15,1
5,23,8.24,6
5,24,3.86,25
5,25,3.2,6
5,26,3.05,6
5,27,3.7,6
5,28,3.28,5
5,29,3.34,6
5,30,3.22,4
5,31,3.14,11
5,32,2.93,3
6,1,5.68,23
6,2,5.04,31
6,3,4.4,4
6,4,2.87,4
6,5,2.95,5
6,7,0.68,9
6,8,2.41,9
6,9,5.67,2
6,10,5.95,4
6,11,6.59,5
6,12,6.08,2
6,13,5.87,1
6,14,4.81,1
6,15,5.17,5
6,16,4.27,6
6,17,4.01,6
6,18,2.54,13
6,19,2.37,14
6,20,4.07,14
6,21,5.4,7
6,22,5.5,1
6,23,7.59,6
6,24,5.1,25
6,25,4.44,6
6,26,4.29,6
6,27,2.98,6
6,28,3.62,5
6,29,3.69,6
6,30,3.57,4
6,31,2.37,11
6,32,2.16,3
7,1,5.01,23
7,2,4.37,31
7,3,3.73,4
7,4,2.2,4
