id,endereço,lat,lon,passageiros
1,Terminal Centro,2.814626702696001,-60.66991505451068,23
2,Secretaria da Fazenda do Estado,2.822412025265777,-60.67376505051653,31
3,Praça Velia Coutinho,2.82705767462377,-60.67894804150086,4
4,6º Batalhão de Engenharia de Construção,2.8288196274216366,-60.68217534354431,4
5,Fundação Nacional de Saúde,2.8323752250498955,-60.68503204140525,5
6,Hospital Geral de Roraima,2.832159213678762,-60.68873825780075,11
7,"Sesi, RR",2.8302147685821413,-60.69229628770751,9
8,Departamento de Trânsito de Roraima,2.828620869773112,-60.69509118872444,9
9,"Av. Getúlio Vargas, 5625",2.82022336483576,-60.66830968093964,2
10,Praça Da Bandeira,2.8221522326063178,-60.66668947716597,4
11,"Av. Maj. Williams, 502 - São Pedro",2.8242554983327763,-60.66439326381605,5
12,"Av. Maj. Williams, 930 - São Francisco",2.8275267336735643,-60.66816867073458,2
13,Igreja Do São Francisco,2.828905240327149,-60.67127908653584,1
14,"Av. Ville Roy, 6606 - Centro",2.818476080855928,-60.67516046721113,1
15,Defensoria Pública Do Estado,2.816371804629399,-60.68512479773982,5
16,"Rua General Penha Brasil, 952",2.830702881503953,-60.67746405704015,6
17,"Rua General Penha Brasil, 1315",2.8337837838065565,-60.67909822965129,6
18,Parque Anauá,2.833736541833854,-60.685189209755215,13
19,"Avenida Princesa Isabel, 130, Jardim floresta",2.8244207331609177,-60.69719500643199,14
20,Sest Senat Roraima,2.825951813040699,-60.70528342953055,14
21,"Av. Carlos Pereira de Melo, 1113 - Jardim Floresta",2.831436311125834,-60.7114962664755,7
22,"Av. Carlos Pereira de Melo, 820 - Jardim Floresta",2.8307397369387792,-60.70806683480525,1
23,"Av. Carlos Pereira de Melo, 181",2.8336243158818197,-60.72095789056192,6
24,Terminal Luiz Canuto Chavez,2.822013768689812,-60.67375121839021,25
25,Sesc Administrativo Roraima,2.821282115534179,-60.67591782811528,6
26,"Av. Mário Homem de Melo, 514 - Centro",2.821475423033309,-60.67846378110625,6
27,Praça Do Mecejana,2.8255571075650905,-60.694452512651104,6
28,Clinica das Crianças Menino de Jesus,2.8220428654573744,-60.68757130491435,5
29,"Avenida Mário Homem de Melo,1489, Mecejana",2.822540592688396,-60.69145790439368,6
30,"Avenida Mário Homem de Melo 1980,Mecejana",2.8223007260414383,-60.691504680744416,4
31,Escola Estadual Ana Libória,2.8236139642017046,-60.695866885384525,11
32,UFRR,2.8307413615419894,-60.6986524466423,3
